Series Name,Series Code,Country Name,Country Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Nepal,NPL,7.061,7.098,7.385,7.065,7.07,7.07,7.024,7.272,7.761,6.888,6.932
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Netherlands,NLD,8.4,8.3,8.7,8.7,8.8,8.9,8.8,9.7,9.8,9.6,9.5
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,New Caledonia,NCL,5.484,5.559,5.69,5.813,5.933,6.07,6.278,7.412,6.664,6.8,6.271
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,New Zealand,NZL,6.65,6.87,6.85,6.61,6.92,6.78,6.87,6.41,6.83,7.53,7.23
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Nicaragua,NIC,4.982,4.964,4.993,4.959,4.949,4.832,4.95,6.663,6.618,4.691,4.586
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Niger,NER,10.751,10.532,10.386,10.156,9.957,9.769,9.573,9.526,9.55,9.173,8.859
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Nigeria,NGA,13.864,13.736,13.656,13.408,13.192,12.952,12.679,12.586,12.306,11.953,11.74
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,North Macedonia,MKD,9.3,9.5,9.9,9.853364793075,9.8,9.5,9.8,12.4,15.5,12.3,11
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Northern Mariana Islands,MNP,3.447,3.615,3.765,3.9,4.016,4.133,4.142,4.146,4.381,4.505,4.704
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Norway,NOR,8.1,7.9,7.8,7.8,7.7,7.7,7.6,7.5,7.8,8.4,7.9
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Oman,OMN,2.192,2.113,2.057,2.017,1.993,1.992,2.001,2.444,2.785,2.13,1.901
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Pakistan,PAK,7.377,7.272,7.164,7.039,6.94,6.852,6.772,7.301,7.23,6.513,6.466
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Palau,PLW,9.053,9.241,9.503,9.774,10.047,10.341,10.631,11.13,11.538,11.502,11.495
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Panama,PAN,4.658,4.673,4.714,4.739,4.782,4.722,4.719,5.864,5.643,4.751,4.771
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Papua New Guinea,PNG,6.977,6.89,6.804,6.744,6.692,6.661,6.624,6.824,7.229,6.846,6.516
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Paraguay,PRY,5.193,5.24,5.319,5.396,5.501,5.514,5.584,6.095,8.92,6.359,5.703
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Peru,PER,6.321,6.123,6.037,6.036,6.102,6.173,6.16,7.415,9.297,6.389,5.491
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Philippines,PHL,5.508,5.558,5.583,5.662,5.565,5.753,5.896,5.831,7.992,6.266,6.236
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Poland,POL,10.2,9.9,10.4,10.2,10.6,10.9,10.8,12.7,14,12.2,11.1
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Portugal,PRT,10.2,10.1,10.5,10.7,10.6,10.9,10.8,11.9,12,11.9,11.2
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Puerto Rico (US),PRI,8.1,8.5,8.084,8.86,9.222,9.063,9.194,10.131,10.2,11,10.7
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Qatar,QAT,1.104,1.047,0.97,0.92,0.901,0.877,0.841,1.053,1.053,0.932,0.93
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Romania,ROU,12.4,12.8,13.2,13.1,13.4,13.6,13.4,15.5,17.5,14.3,12.7
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Russian Federation,RUS,13,13.1,13,12.9,12.4,12.5,12.3,14.6,16.7,12.9,12.1
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Rwanda,RWA,6.598,6.478,6.401,6.336,6.234,6.206,6.132,6.089,6.185,5.993,5.935
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Samoa,WSM,5.946,6.007,6.056,6.087,6.1,6.147,6.529,6.496,6.405,6.181,6.157
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,San Marino,SMR,7.5,7.7,7.1,7.6,8.2,7.1,7.2,9.9,9.1,7.8,8.3
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sao Tome and Principe,STP,7.148,6.925,6.719,6.53,6.371,6.219,6.117,6.227,6.196,5.732,5.572
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Saudi Arabia,SAU,2.506,2.392,2.266,2.178,2.174,2.228,2.295,2.46,2.615,2.57,2.34
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Senegal,SEN,7.094,6.861,6.615,6.459,6.283,6.119,5.979,6.052,6.307,5.92,5.581
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Serbia,SRB,14,14.2,14.6,14.3,14.8,14.6,14.6,16.9,20,16.3,14.7
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Seychelles,SYC,8,7.9,7.5,7.9,7.8,8.4,8.1,6.8,9.3,7.8,7.3
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sierra Leone,SLE,12.581,12.332,11.6,10.769,10.329,9.676,9.39,9.319,8.996,8.523,8.287
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Singapore,SGP,4.6,4.7,4.8,4.8,5,5,5,5.2,5.8,6.3,6.2
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sint Maarten (Dutch part),SXM,5.272,5.312,5.459,5.69,6.185,6.475,6.879,7.902,8.819,7.981,8.126
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Slovak Republic,SVK,9.6,9.5,9.9,9.6,9.9,10,9.8,10.8,13.5,11,10
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Slovenia,SVN,9.4,9.2,9.6,9.5,9.9,9.9,9.9,11.4,11,10.6,10.2
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Solomon Islands,SLB,5.529,5.56,5.451,5.431,5.44,5.47,5.547,5.82,5.898,5.194,5.141
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Somalia, Fed. Rep.",SOM,12.893,12.637,12.292,12.054,14.073,12.391,10.908,10.834,11.3,12.812,9.835
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,South Africa,ZAF,9.962,9.647,9.217,9.069,8.83,8.789,8.75,9.683,11.933,9.402,9.239
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,South Sudan,SSD,9.997,17.932,22.034,24.844,25.765,12.423,9.302,9.594,10.038,9.906,9.609
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Spain,ESP,8.3,8.5,9.1,8.8,9.1,9.1,8.8,10.4,9.5,9.7,9
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sri Lanka,LKA,6.291,6.341,6.398,6.493,6.608,6.677,6.7,6,7.4,8.1,8.2
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Kitts and Nevis,KNA,9.316,9.437,9.551,9.672,9.785,9.916,9.985,10.492,12.687,11.658,9.963
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Lucia,LCA,7.343,7.501,7.501,7.84,7.991,8.058,8.425,8.556,11.654,8.455,8.614
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Martin (French part),MAF,3.841,3.931,4.036,4.169,4.687,4.476,6.886,12.649,8.933,9.021,9.282
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Vincent and the Grenadines,VCT,10.658,10.726,10.821,10.979,10.916,11.1,11.288,12.927,12.724,11.45,11.499
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sudan,SDN,7.474,7.21,7.069,6.948,6.741,6.646,6.549,6.786,6.996,6.522,6.404
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Suriname,SUR,7.206,7.199,7.186,7.069,7.041,7.061,7.034,6.848,9.013,6.687,6.649
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sweden,SWE,9.4,9.2,9.3,9.2,9.1,9.1,8.6,9.5,8.8,9,9
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Switzerland,CHE,8,7.8,8.2,7.8,7.9,7.9,7.9,8.8,8.2,8.5,8.1
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Syrian Arab Republic,SYR,7.514,7.353,8.223,7.323,7.246,6.544,5.284,5.058,4.964,4.773,5.039
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tajikistan,TJK,5.286,5.255,5.281,5.162,4.953,4.898,4.843,5.85,5.385,4.618,4.581
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tanzania,TZA,7.501,7.261,7.002,6.8,6.581,6.382,6.183,5.909,6.091,5.844,5.791
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Thailand,THA,6.713,6.754,6.818,6.918,7.029,7.167,7.422,7.618,7.744,9.231,8.888
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Timor-Leste,TLS,7.785,7.715,7.65,7.606,7.559,7.513,7.477,7.39,7.842,7.362,7.271
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Togo,TGO,9.704,9.48,9.253,9.039,8.814,8.598,8.394,8.386,8.293,7.872,7.702
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tonga,TON,6.328,6.368,6.376,6.386,6.363,6.401,6.426,6.459,6.701,6.476,6.442
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Trinidad and Tobago,TTO,6.781,6.918,7.131,7.312,7.494,7.742,7.948,8.312,9.762,8.225,8.368
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tunisia,TUN,5.871,5.931,5.996,6.041,6.068,6.087,6.099,6.648,8.348,6.159,6.071
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Turkiye,TUR,4.9,5.1,5.2,5.3,5.3,5.2,5.3,6.1,6.7,5.9,6.2
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Turkmenistan,TKM,6.1,6.121,6.123,6.095,6.076,6.039,5.986,6.276,6.044,5.787,5.781
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Turks and Caicos Islands,TCA,6.209,6.403,6.454,6.662,6.796,6.92,7.04,7.389,7.713,7.372,7.401
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tuvalu,TUV,9.386,9.395,9.394,9.335,9.255,9.18,9.19,9.177,9.593,9.066,9.138
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Uganda,UGA,7.038,6.699,6.372,6.073,5.82,5.613,5.42,5.373,5.339,5.035,4.842
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Ukraine,UKR,13.983,13.682,13.015,12.589,12.265,13.157,13.079,14.438,17.134,14.188,13.13
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United Arab Emirates,ARE,1.033,1.014,1.021,1.007,0.97,0.957,0.958,1.118,1.258,1.18,0.932
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United Kingdom,GBR,9,8.8,9.2,9.1,9.2,9.2,9.019,10.268,9.784,9.512,9.518
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United States,USA,8.215,8.237,8.44,8.493,8.638,8.678,8.697,10.27,10.4,9.8,9.2
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Uruguay,URY,9.458,9.397,9.494,9.581,9.488,9.53,9.754,9.219,11.726,10.832,9.783
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Uzbekistan,UZB,6.109,6.082,6.005,5.963,5.962,5.933,5.97,6.467,6.32,6.048,6.206
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Vanuatu,VUT,5.586,5.638,5.654,5.621,5.619,5.56,5.494,5.739,5.797,5.167,5.083
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Venezuela, RB",VEN,5.804,5.996,6.026,6.572,6.8,6.685,6.802,7.202,7.862,7.347,7.56
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Viet Nam,VNM,6.057,6.114,6.153,6.195,6.238,6.263,6.3,5.813,6.653,6.488,6.577
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Virgin Islands (U.S.),VIR,6.9,7.1,7.3,7.5,7.7,7.9,8.2,8.4,8.6,8.8,9
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,West Bank and Gaza,PSE,3.341,3.855,3.318,3.262,3.218,3.217,3.134,3.391,3.768,2.992,7.198
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Yemen, Rep.",YEM,5.294,5.29,5.773,5.647,5.644,6.114,5.859,5.832,5.953,5.232,4.792
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Zambia,ZMB,8.017,7.686,7.402,7.203,7.005,6.775,6.482,6.26,6.607,5.583,5.207
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Zimbabwe,ZWE,10.233,9.621,9.18,8.816,8.587,8.321,8.281,8.138,8.782,7.779,7.614
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,20146416757.5987,20497128555.6972,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17152234636.8715
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,12796985886.1478,13296322588.1684,11470171826.9575,11988668784.6628,13258268435.6048,15379508329.7568,15585111614.0376,15241455556.3737,18032009220.4405,19017244116.7203,23547180412.3404
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,229701430292.157,238942664192.59,187493855609.345,180763839522.151,189880896903.073,194554483655.528,193459662090.677,164873415325.201,186231205262.082,225638456572.143,247626161016.414
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,3193512950.02419,3271685596.66321,2789881258.50362,2896610479.73077,3000162081.11976,3218419896.9641,3155149347.80639,2891001149.3611,3324647529.381,3380612573.32922,3785067331.7625
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,132339109040.232,135966802586.713,90496420506.5957,52761617225.9253,73690154990.7312,79450688259.3664,70897962732.0277,48501561203.5686,66505129987.7235,104399746853.401,84875162197.0107
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1325496296.2963,1378707407.40741,1437485185.18519,1489603703.7037,1534855555.55556,1661529629.62963,1726448148.14815,1411637037.03704,1602125925.92593,1866566666.66667,2005785185.18518
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,552025140252.246,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,486564085480.036,632790070063.124,646075277525.125
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,11121464437.0415,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,24085749592.3359
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,2727849720.67039,2790849720.67039,2962907262.56983,2983635195.53073,3092429050.27933,3276184357.5419,3395798882.68156,2481857122.8401,2929446578.25104,3279343543.60416,3648573136.15155
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1577123329410.88,1468265356427.76,1351296372254.31,1206836962281.84,1325582658156.54,1427809041019.44,1392723834562.64,1328414058378.38,1556735770437.26,1690858246994.43,1728057316695.61
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,426580502769.417,438556021078.034,379546097300.633,393687359770.273,414926138132.691,452582294972.775,442983642371.842,434397601557.696,480467037338.783,471773629830.381,511685203845.001
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,74160560123.6902,75239785452.1022,53076235354.746,37866996882.9157,40866627351.9817,47112470051.7701,48174235294.1176,42693000000,54825411764.7059,78807470588.2353,72428470588.2353
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,10475300000,11139100000,11837600000,11880900000,12446900000,12819200000,13277000000,10363200000,12037000000,13896800000,15271300000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,33823324468.0851,34772526595.7447,32523297872.3404,33884680851.0638,37204813829.7872,39567978723.4043,40446808510.6383,35837632978.7234,40840212765.9574,46458191489.3617,46192260638.2979
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,149998957434.186,172886611653.786,195146608978.131,265224515675.034,293732446624.596,321362752441.78,351231654603.692,373979442362.193,416271647911.014,460131689083.083,437415333018.291
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,5361158350,5365976700,5288057750,5330761500,5517340450,5629916200,5788288000,5168344450,5275242050,6257303500,6720733200
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,75527558966.4473,78813069120.9984,56454769844.7632,47723545321.259,54725405751.1559,60031026576.26,64410170653.4569,61371673344.7424,69673747131.87,73775179924.603,72478760370.4258
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,524097026598.55,537987419164.351,461044767544.531,474271566739.729,500908767351.53,542638913427.921,536726344405.489,529694473501.791,598522422241.851,593614574325.878,644655275111.58
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,2032750000,2138250000,2193050000,2240200000,2266300000,2293250000,2388300000,2042850000,2420550000,2846700000,3066850000
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,12517845123.9315,13284527846.9081,11388160996.7738,11821065853.3838,12701655836.9467,14262408089.9261,14391686313.4641,15686741893.5187,17687623534.6665,17425405083.8797,19673290995.8491
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887364000,7290037000,7874381000,8579242000
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,1943696951.65411,2089079570.58285,2187815803.36833,2357504760.78592,2591358009.20276,2583335721.85904,2735683570.46155,2457604333.90927,2768802960.11204,2898227743.75576,3019253885.46989
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,30659338885.6729,32996188017.3661,33000198248.9146,33941126193.9219,37508642170.767,40287647930.5355,40895322850.9407,36629843806.0781,40406111693.1983,44008282879.8842,45135398002.8944
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,18179108530.5261,18558733564.4692,16404348871.4437,17116926327.6247,18326373366.1105,20484053868.9246,20482608755.379,20226036564.4129,23672712242.2149,24534663636.1778,27592361387.8597
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,14271738933.2042,15470088500.7414,13530748844.505,15082637184.0496,16105155856.7708,17031943186.1353,16725908148.5481,14960251610.8975,18750182234.5317,20321150598.0672,19411266967.1044
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,2472819535557.21,2456043727198.85,1802212206814.5,1795693482853.01,2063514977365.65,1916933898010.99,1873288205059.69,1476107231310.49,1670647398904.9,1951923942083.32,2191131765684.63
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,18094148099.4922,17097797371.9718,12930296852.4882,11400266055.3232,12128168046.7827,13566908401.1864,13469235348.2211,12005799664.2691,14006496614.3195,16681536442.5498,15095084686.1651
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,55819262374.9039,57080897012.1077,50765918159.1476,53929397039.2106,59167647387.606,66251582035.9412,68634004792.1,70550652466.6251,84414122840.1687,90509236929.2237,102396840296.147
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,13444300485.8412,13943016076.7436,11832159315.6298,12833363045.3367,14106955615.3442,15890066221.2882,16032813503.3707,17725010532.5268,19697516284.3787,18820218690.5948,20324617844.5265
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,2451606632.29246,2705783329.80483,3104003546.26497,2644487776.50077,2723586962.84034,2667182199.51333,2576518879.82353,2649680261.44299,2775798697.46022,3338722827.65691,2629391599.50157
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,2028910915.16446,2041930125.42979,1749857620.35329,1849789985.99572,1996741539.95088,2205099506.99994,2252177124.32402,1821565613.68613,2051842618.70539,2247003344.34242,2539203428.73837
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,19807135252.8649,22041463967.9009,24174170369.0738,26556545153.3573,29355665909.7905,33145892168.8958,36685356407.7206,34818073901.4851,36790163687.4421,39994532959.6074,42335646895.7984
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,33728621180.3231,36386544706.0806,32210233020.4569,33814337044.3765,36098547033.1655,39955552189.795,39667757527.6578,40773241177.0505,45011937346.8384,44347206072.5513,49279410982.826
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1743725183672.52,1655684730000.19,2022378748423.23,2190411080134.32,2173339670064.33
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,4405796023.18409,4562853611.41445,4708167232.66893,4909322237.28895,5166281305.12522,5530178440.71376,5941896607.58643,5655358021.43209,6060026520.10608,6600843963.37585,7139428557.71423
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,1691544110.18543,1894813389.40325,1695825714.19282,1825018144.65595,2072349972.6818,2220979146.11241,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694,2555492085.94725
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,17865316886.3315,18144336903.7175,14559599499.5011,13026289835.7789,13349041408.7152,15327000248.8701,14905517742.8454,14932897821.2387,16871937697.5854,17828508289.6049,19107685020.89
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,9594160856.65155,10528493006.4176,10109968831.1688,9169278152.84904,9170079922.77992,10026153281.7503,10032440898.6469,9439810769.23077,11157003025.7186,11308300382.1028,12507927159.7265
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,277395018842.417,259560978224.359,242450355830.884,249344863928.438,276154259981.097,295857562991.709,278285058719.466,254042159309.311,315325547162.072,301226575540.242,335518054097.637
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,9743124247267.24,10674533168257.4,11280814787468.9,11456024084962,12537559062282.9,14147765772963.8,14560167101283.4,14996414166715.1,18201698719564,18316765021690.2,18270356654533.2
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,382093697077.685,381240864422.407,293492370193.166,282720100286.228,311866875156.879,334198218098.276,323031701192.84,270348342541.465,318524633225.395,345632492851.448,366291836137.916
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,1116223107.03168,1149587623.99594,966029599.801228,1012835492.51575,1077439756.12221,1188797449.96029,1195019531.03664,1225039195.93742,1299039311.76025,1279542248.45017,1430523435.81695
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,32679745048.4427,35909040925.9375,37917706497.1793,37134801555.3322,38019264794.8263,47568210009.8172,51775829877.2088,48716961860.1325,55328482783.5393,65801547755.6552,67006756666.3604
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,17958720699.0868,17919321078.0284,12434793867.3568,10931328150.8478,11834473039.3645,14773900288.5135,13976637779.9763,11468687464.0046,14825690210.9157,15817030156.9459,15321055818.3263
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,50949668841.575,52016408854.212,56441920820.5538,58847019609.743,60516044656.5298,62420164991.5444,64417670521.3339,62395610759.9798,64960725734.2362,69243626028.6698,86497941438.9809
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,42760235484.6093,48843005613.7091,45815005169.2651,48407761036.8238,52512343996.69,58522477786.6889,60382894697.3557,63027852805.4204,72794636649.4342,70922824824.0069,79618056323.7639
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,59852401272.3204,59612144078.4133,51005200669.6941,52654855638.1057,56186190437.9959,61668130122.5878,61467582193.6824,57963370885.0798,69006802298.6956,71198635101.9514,84393795502.4421
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,77148000000,80656100000,87132800000,91370407863.7,96850649691.7406,100050036096.123,103427600000,107351800000,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,3033568603.35196,3059406983.24022,3058779217.87709,3024690167.59777,3033433240.22346,3046364804.46927,3026124115.73275,2534327592.49914,2739594359.5908,3075180834.72417,3281419347.37053
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,23959712860.8331,23225918259.9824,19909278416.8575,21046462280.5979,22946570628.7576,25754001367.5448,26196667099.5303,25555093854.2968,30372642502.4897,30935566076.6788,33886930712.3394
GDP (current US$),NY.GDP.MKTP.CD,Czechia,CZE,213024360541.119,210911285077.683,189107698561.919,198160659303.939,221563575696.217,251992360762.236,256794209028.77,251109660602.536,290972714482.313,301831228325.556,343206568134.637
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,344631016965.12,352832602064.452,301758922337.637,312181849372.233,331610593961.988,355293374912.393,345401473012.615,355631021931.621,408378204639.999,401945576107.963,407091920305.404
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,2044440443.16654,2220637966.25047,2424391785.43897,2604955228.70117,2762581334.22612,2913464658.08768,3088851450.30694,3144136196.6228,3392796953.08939,3562814908.76149,3917150480.80981
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,545325925.925926,572255555.555555,583177777.777778,612711111.111111,563355555.555555,628244444.444444,644259259.259259,528944444.444444,562911111.111111,623062962.962963,659311111.111111
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,62555417414.582,67014329099.5549,70966782572.4386,75552902635.7075,79070274743.1658,84994732049.3461,89146130744.723,78546672406.8291,94850719516.7127,113478087134.8,120456239153.739
GDP (current US$),NY.GDP.MKTP.CD,Ecuador,ECU,96570334000,102717794000,97209558000,97671433000,104467486000,107478961000,107595830000,95865473000,107179074000,116133121000,121147057000
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,288434108527.132,305595408895.265,329366576819.407,332441717791.411,248362771739.13,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742,395926075163.006
GDP (current US$),NY.GDP.MKTP.CD,El Salvador,SLV,21990960000,22593470000,23438240000,24191430000,24979190000,26020850000,26881140000,24921190000,29043140000,31870120000,33853940000
GDP (current US$),NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,21948834283.7856,21765453081.9826,13185496881.0174,11240808847.8878,12200913878.9827,13097012133.6159,11364133549.7478,9893816007.7398,12215878032.7166,13687643435.6249,12337550583.754
GDP (current US$),NY.GDP.MKTP.CD,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..
